employee_id,full_name,role,email,country,hired_at,active
39,José Novak,Account Manager,josnovak4247@mail.com,Bolivia,2021-04-09 08:31:57+00:00,0
40,Emma Rossi,Account Manager,emmarossi5874@sample.co,Italy,2022-11-01 13:29:24+00:00,0
41,Chen Kowalski,Sales Rep,chenkowalski1312@mail.com,Ecuador,2022-10-29 18:47:52+00:00,1
42,Mila Park,Support,milapark3684@sample.co,Brazil,2023-05-06 12:07:10+00:00,0
43,Emily Kim,Warehouse Ops,emilykim8027@company.net,Japan,2024-11-03 12:43:30+00:00,1
44,Camila Kim,Account Manager,camilakim2540@mail.com,Uruguay,2023-09-27 16:16:55+00:00,1
45,Leo Jones,Finance,leojones8377@sample.co,New Zealand,2021-09-02 10:39:46+00:00,1
46,Leo Gonzalez,Warehouse Ops,leogonzalez2557@sample.co,Netherlands,2022-07-16 04:56:42+00:00,1
47,Charlotte Park,Procurement,charlottepark6943@company.net,Uruguay,2023-11-21 11:44:52+00:00,0
48,Aarav Williams,Finance,aaravwilliams5911@example.com,Peru,2023-06-22 04:13:11+00:00,1
49,Ivy Garcia,Account Manager,ivygarcia6520@example.com,Bolivia,2024-05-28 03:12:30+00:00,1
50,Charlotte Novak,Support,charlottenovak5933@mail.com,Argentina,2020-06-22 21:53:03+00:00,1
51,Diego Flores,Procurement,diegoflores7016@demo.org,United Kingdom,2021-03-15 09:30:02+00:00,1
52,Oliver Kim,Finance,oliverkim90@example.com,Netherlands,2021-09-19 07:05:49+00:00,1
53,Sofia Smith,Warehouse Ops,sofiasmith1503@demo.org,Argentina,2020-09-16 17:20:11+00:00,1
54,Valentina Torres,Finance,valentinatorres4210@mail.com,Mexico,2020-04-30 19:06:18+00:00,1
55,Emily Costa,Warehouse Ops,emilycosta6419@sample.co,United States,2024-01-26 06:58:32+00:00,1
56,Isabella Kowalski,Procurement,isabellakowalski3438@example.com,United Arab Emirates,2020-01-30 04:45:17+00:00,1
57,Oliver Zhang,Account Manager,oliverzhang3574@demo.org,Paraguay,2022-05-25 20:23:43+00:00,1
58,Jacob Brown,Finance,jacobbrown591@example.com,Germany,2020-09-27 22:27:27+00:00,1
59,Yuki Rodriguez,Warehouse Ops,yukirodriguez7617@sample.co,Italy,2023-11-01 18:47:21+00:00,1
60,Mila Singh,Account Manager,milasingh8199@mail.com,Chile,2025-05-27 00:39:30+00:00,1
61,Leo Silva,Sales Rep,leosilva4118@mail.com,Netherlands,2025-04-22 00:04:12+00:00,1
62,Camila Wang,Finance,camilawang2285@sample.co,Colombia,2024-01-22 12:58:14+00:00,0
63,Aarav Rodriguez,Procurement,aaravrodriguez6114@company.net,New Zealand,2025-01-12 01:58:14+00:00,1
64,Zoe Costa,Sales Rep,zoecosta9545@mail.com,Brazil,2024-11-26 04:43:16+00:00,1
65,Luna Park,Finance,lunapark4961@example.com,Chile,2025-01-07 23:44:11+00:00,1
66,Amelia Gonzalez,Finance,ameliagonzalez1234@demo.org,Colombia,2023-01-16 08:03:57+00:00,1
67,Amelia Singh,Finance,ameliasingh3236@demo.org,Bolivia,2021-09-10 18:57:03+00:00,1
68,Charlotte Bianchi,Sales Rep,charlottebianchi1360@example.com,Australia,2020-09-29 10:48:15+00:00,1
69,Emily Lee,Procurement,emilylee8033@sample.co,China,2023-06-15 15:23:39+00:00,0
70,Chen Kim,Account Manager,chenkim4640@sample.co,Poland,2023-07-13 06:44:03+00:00,1
71,Sofia Park,Finance,sofiapark831@demo.org,Mexico,2020-04-24 08:58:40+00:00,1
72,Mateo Williams,Finance,mateowilliams7624@demo.org,Argentina,2022-03-13 03:00:06+00:00,1
73,Zoe Kim,Finance,zoekim3647@company.net,Germany,2020-08-31 01:39:29+00:00,1
74,Carlos Rossi,Warehouse Ops,carlosrossi1341@example.com,Bolivia,2021-08-14 22:35:05+00:00,1
75,Diego Novak,Procurement,diegonovak4020@sample.co,Poland,2022-08-06 22:31:19+00:00,0
76,José Kim,Finance,joskim6565@sample.co,Ecuador,2024-04-21 15:46:43+00:00,1
77,Isabella Sanchez,Sales Rep,isabellasanchez847@demo.org,Canada,2021-05-24 03:39:50+00:00,1
78,Aarav Sanchez,Procurement,aaravsanchez9915@example.com,Poland,2021-11-09 03:02:29+00:00,1
79,Ivy Sanchez,Support,ivysanchez1181@example.com,Poland,2024-09-20 15:31:13+00:00,1
80,Amelia Costa,Warehouse Ops,ameliacosta3872@demo.org,New Zealand,2020-12-16 04:36:28+00:00,1
